Days,mean,lower,upper
1,82.5828982409263,39.09975528835449,97.45506390558896
2,83.28264929859719,43.28676040970831,97.1246847027388
3,83.71487352482742,47.17762658650635,96.72419171676687
4,83.76225406368292,50.51186283678468,96.17866800267201
5,83.2722698730795,52.988957470496544,95.36882275662435
6,82.06250011133378,54.31553974615898,94.17653239812958
7,79.88636450679135,54.275986417279,92.32007036294812
8,76.43506858160765,52.67721487419283,89.43379492317969
9,71.33628635047873,49.27085370741483,85.24728946782453
10,64.31923001558673,43.74175840570029,79.66582787797817
11,55.429680917390336,36.32768203072812,72.6018846582053
12,45.29595190380761,28.315725896236916,64.3894629258517
13,35.0460104653752,20.797230460921845,55.64430126920507
14,25.722158316633266,14.395885771543085,46.95256067690937
15,17.78220307281229,9.266816521932755,38.71285615675796
16,11.516057225562236,5.475924738365619,31.24057181028724
17,6.969999331997328,2.8750679136049877,24.652301269205076
18,3.982618125139167,1.428133600534402,19.109900690269427
19,2.2348505900690268,0.696521487419283,14.68608016032064
20,1.3490460921843688,0.33433845468715206,11.185908260966377
21,0.8909060342908038,0.16833400133600535,8.46827432643064
22,0.703042974838566,0.07894522378089512,6.382201068804275
23,0.6269752839011355,0.03992429303050545,4.739008906702294
24,0.603207526163438,0.021011801380538854,3.442527499443331
25,0.5906419505678022,0.009359608105099088,2.509422400356268
26,0.5816564239590292,0.003085727009574705,1.8300694722778892
27,0.5770173680694722,6.911600979737253e-4,1.3434578044978847
28,0.573,0,1.020780672456023
29,0.573,0,0.8007837898018259
30,0.573,0,0.6768641727900244
