date, seroprevalence, area
07 December 2020,0.123,England
14 December 2020,0.148,England
21 December 2020,0.162,England
28 December 2020,0.169,England
04 January 2021,0.192,England
11 January 2021,0.177,England
18 January 2021,0.219,England
25 January 2021,0.266,England
01 February 2021,0.289,England
08 February 2021,0.326,England
15 February 2021,0.348,England
22 February 2021,0.409,England
01 March 2021,0.456,England
08 March 2021,0.497,England
15 March 2021,0.501,England
22 March 2021,0.508,England
29 March 2021,0.596,England
05 April 2021,0.668,England
12 April 2021,0.698,England
19 April 2021,0.693,England
26 April 2021,0.740,England
03 May 2021,0.764,England
10 May 2021,0.771,England
17 May 2021,0.803,England
24 May 2021,0.829,England
31 May 2021,0.843,England
07 June 2021,0.866,England
07 December 2020,0.106,Wales
14 December 2020,0.129,Wales
21 December 2020,0.138,Wales
28 December 2020,0.142,Wales
04 January 2021,0.159,Wales
11 January 2021,0.144,Wales
18 January 2021,0.177,Wales
25 January 2021,0.217,Wales
01 February 2021,0.240,Wales
08 February 2021,0.280,Wales
15 February 2021,0.309,Wales
22 February 2021,0.374,Wales
01 March 2021,0.424,Wales
08 March 2021,0.461,Wales
15 March 2021,0.458,Wales
22 March 2021,0.458,Wales
29 March 2021,0.544,Wales
05 April 2021,0.614,Wales
12 April 2021,0.654,Wales
19 April 2021,0.664,Wales
26 April 2021,0.728,Wales
03 May 2021,0.767,Wales
10 May 2021,0.784,Wales
17 May 2021,0.822,Wales
24 May 2021,0.849,Wales
31 May 2021,0.866,Wales
07 June 2021,0.887,Wales
07 December 2020,0.058,Northern Ireland
14 December 2020,0.065,Northern Ireland
21 December 2020,0.074,Northern Ireland
28 December 2020,0.086,Northern Ireland
04 January 2021,0.101,Northern Ireland
11 January 2021,0.120,Northern Ireland
18 January 2021,0.144,Northern Ireland
25 January 2021,0.174,Northern Ireland
01 February 2021,0.211,Northern Ireland
08 February 2021,0.254,Northern Ireland
15 February 2021,0.302,Northern Ireland
22 February 2021,0.354,Northern Ireland
01 March 2021,0.404,Northern Ireland
08 March 2021,0.450,Northern Ireland
15 March 2021,0.492,Northern Ireland
22 March 2021,0.531,Northern Ireland
29 March 2021,0.568,Northern Ireland
05 April 2021,0.604,Northern Ireland
12 April 2021,0.639,Northern Ireland
19 April 2021,0.673,Northern Ireland
26 April 2021,0.709,Northern Ireland
03 May 2021,0.742,Northern Ireland
10 May 2021,0.771,Northern Ireland
17 May 2021,0.796,Northern Ireland
24 May 2021,0.818,Northern Ireland
31 May 2021,0.836,Northern Ireland
07 June 2021,0.854,Northern Ireland
07 December 2020,0.096,Scotland
14 December 2020,0.115,Scotland
21 December 2020,0.121,Scotland
28 December 2020,0.122,Scotland
04 January 2021,0.134,Scotland
11 January 2021,0.117,Scotland
18 January 2021,0.142,Scotland
25 January 2021,0.172,Scotland
01 February 2021,0.186,Scotland
08 February 2021,0.216,Scotland
15 February 2021,0.241,Scotland
22 February 2021,0.305,Scotland
01 March 2021,0.358,Scotland
08 March 2021,0.401,Scotland
15 March 2021,0.405,Scotland
22 March 2021,0.412,Scotland
29 March 2021,0.496,Scotland
05 April 2021,0.562,Scotland
12 April 2021,0.594,Scotland
19 April 2021,0.592,Scotland
26 April 2021,0.646,Scotland
03 May 2021,0.675,Scotland
10 May 2021,0.682,Scotland
17 May 2021,0.717,Scotland
24 May 2021,0.746,Scotland
31 May 2021,0.763,Scotland
07 June 2021,0.791,Scotland
07 December 2020,0.118,United Kingdom
14 December 2020,0.142,United Kingdom
21 December 2020,0.155,United Kingdom
28 December 2020,0.162,United Kingdom
04 January 2021,0.183,United Kingdom
11 January 2021,0.169,United Kingdom
18 January 2021,0.209,United Kingdom
25 January 2021,0.253,United Kingdom
01 February 2021,0.276,United Kingdom
08 February 2021,0.313,United Kingdom
15 February 2021,0.336,United Kingdom
22 February 2021,0.397,United Kingdom
01 March 2021,0.445,United Kingdom
08 March 2021,0.486,United Kingdom
15 March 2021,0.491,United Kingdom
22 March 2021,0.498,United Kingdom
29 March 2021,0.585,United Kingdom
05 April 2021,0.655,United Kingdom
12 April 2021,0.686,United Kingdom
19 April 2021,0.683,United Kingdom
26 April 2021,0.731,United Kingdom
03 May 2021,0.756,United Kingdom
10 May 2021,0.764,United Kingdom
17 May 2021,0.797,United Kingdom
24 May 2021,0.823,United Kingdom
31 May 2021,0.837,United Kingdom
07 June 2021,0.861,United Kingdom
